Country/Region,Date,Number of confirmed cases
France,1/04/2020,57125
France,2/04/2020,59227
France,3/04/2020,64452
France,4/04/2020,47376
France,5/04/2020,48225
France,6/04/2020,50884
France,7/04/2020,47395
France,8/04/2020,51250
France,9/04/2020,55034
France,10/04/2020,56600
France,11/04/2020,58045
France,12/04/2020,108792
France,13/04/2020,111933
France,14/04/2020,129381
France,15/04/2020,132588
France,16/04/2020,145166
France,17/04/2020,147057
France,18/04/2020,150861
France,19/04/2020,151955
France,20/04/2020,154402
France,21/04/2020,157068
France,22/04/2020,158867
France,23/04/2020,157158
France,24/04/2020,159969
France,25/04/2020,161647
France,26/04/2020,162280
France,27/04/2020,165966
France,28/04/2020,169098
France,29/04/2020,167643
France,30/04/2020,168861
France,1/05/2020,169387
Italy,1/04/2020,110574
Italy,2/04/2020,115242
Italy,3/04/2020,119827
Italy,4/04/2020,124632
Italy,5/04/2020,128948
Italy,6/04/2020,132547
Italy,7/04/2020,135586
Italy,8/04/2020,139422
Italy,9/04/2020,143626
Italy,10/04/2020,147577
Italy,11/04/2020,152271
Italy,12/04/2020,156363
Italy,13/04/2020,159516
Italy,14/04/2020,162488
Italy,15/04/2020,165155
Italy,16/04/2020,168941
Italy,17/04/2020,172434
Italy,18/04/2020,175925
Italy,19/04/2020,178972
Italy,20/04/2020,181228
Italy,21/04/2020,183957
Italy,22/04/2020,187327
Italy,23/04/2020,189973
Italy,24/04/2020,192994
Italy,25/04/2020,195351
Italy,26/04/2020,197675
Italy,27/04/2020,199414
Italy,28/04/2020,201505
Italy,29/04/2020,203591
Italy,30/04/2020,205463
Italy,1/05/2020,207428
US,1/04/2020,227903
US,2/04/2020,260183
US,3/04/2020,292630
US,4/04/2020,324340
US,5/04/2020,353117
US,6/04/2020,385110
US,7/04/2020,415256
US,8/04/2020,446500
US,9/04/2020,482526
US,10/04/2020,516707
US,11/04/2020,545693
US,12/04/2020,571551
US,13/04/2020,598794
US,14/04/2020,627306
US,15/04/2020,653669
US,16/04/2020,683351
US,17/04/2020,716508
US,18/04/2020,743857
US,19/04/2020,768888
US,20/04/2020,799531
US,21/04/2020,825478
US,22/04/2020,855445
US,23/04/2020,887523
US,24/04/2020,919014
US,25/04/2020,949640
US,26/04/2020,975537
US,27/04/2020,1000230
US,28/04/2020,1024834
US,29/04/2020,1051643
US,30/04/2020,1081150
US,1/05/2020,1115972
Vietnam,1/04/2020,218
Vietnam,2/04/2020,233
Vietnam,3/04/2020,237
Vietnam,4/04/2020,240
Vietnam,5/04/2020,241
Vietnam,6/04/2020,245
Vietnam,7/04/2020,249
Vietnam,8/04/2020,251
Vietnam,9/04/2020,255
Vietnam,10/04/2020,257
Vietnam,11/04/2020,258
Vietnam,12/04/2020,262
Vietnam,13/04/2020,265
Vietnam,14/04/2020,266
Vietnam,15/04/2020,267
Vietnam,16/04/2020,268
Vietnam,17/04/2020,268
Vietnam,18/04/2020,268
Vietnam,19/04/2020,268
Vietnam,20/04/2020,268
Vietnam,21/04/2020,268
Vietnam,22/04/2020,268
Vietnam,23/04/2020,268
Vietnam,24/04/2020,270
Vietnam,25/04/2020,270
Vietnam,26/04/2020,270
Vietnam,27/04/2020,270
Vietnam,28/04/2020,270
Vietnam,29/04/2020,270
Vietnam,30/04/2020,270
Vietnam,1/05/2020,270
